| name                   | title                  | level | facing   | categories      | description                                                                                         | detail                                                                                                                                                       | remediation                                                                                | metadata                                                                                                                  | cache_key                                                                                 |
| ---------------------- | ---------------------- | ----- | -------- | --------------- | --------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------- |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.commissions\` has a foreign key \`commissions_subscriptionId_fkey\` without a covering index. This can lead to suboptimal query performance.  | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"commissions","type":"table","schema":"public","fkey_name":"commissions_subscriptionId_fkey","fkey_columns":[3]}  | unindexed_foreign_keys_public_commissions_commissions_subscriptionId_fkey                 |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.commissions\` has a foreign key \`commissions_userId_fkey\` without a covering index. This can lead to suboptimal query performance.          | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"commissions","type":"table","schema":"public","fkey_name":"commissions_userId_fkey","fkey_columns":[4]}          | unindexed_foreign_keys_public_commissions_commissions_userId_fkey                         |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.lead_activities\` has a foreign key \`lead_activities_lead_id_fkey\` without a covering index. This can lead to suboptimal query performance. | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"lead_activities","type":"table","schema":"public","fkey_name":"lead_activities_lead_id_fkey","fkey_columns":[2]} | unindexed_foreign_keys_public_lead_activities_lead_activities_lead_id_fkey                |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.payments\` has a foreign key \`payments_subscription_id_fkey\` without a covering index. This can lead to suboptimal query performance.       | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"payments","type":"table","schema":"public","fkey_name":"payments_subscription_id_fkey","fkey_columns":[3]}       | unindexed_foreign_keys_public_payments_payments_subscription_id_fkey                      |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.subscriptions\` has a foreign key \`subscriptions_plan_id_fkey\` without a covering index. This can lead to suboptimal query performance.     | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"subscriptions","type":"table","schema":"public","fkey_name":"subscriptions_plan_id_fkey","fkey_columns":[3]}     | unindexed_foreign_keys_public_subscriptions_subscriptions_plan_id_fkey                    |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_session_expire\` on table \`public.sessions\` has not been used                                                                                  | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"sessions","type":"table","schema":"public"}                                                                      | unused_index_public_sessions_idx_session_expire                                           |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_enrollment_modifications_modified_by\` on table \`public.enrollment_modifications\` has not been used                                            | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"enrollment_modifications","type":"table","schema":"public"}                                                      | unused_index_public_enrollment_modifications_idx_enrollment_modifications_modified_by     |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_enrollment_modifications_subscription_id\` on table \`public.enrollment_modifications\` has not been used                                        | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"enrollment_modifications","type":"table","schema":"public"}                                                      | unused_index_public_enrollment_modifications_idx_enrollment_modifications_subscription_id |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_users_approval_status\` on table \`public.users\` has not been used                                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"users","type":"table","schema":"public"}                                                                         | unused_index_public_users_idx_users_approval_status                                       |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_subscriptions_user_id\` on table \`public.subscriptions\` has not been used                                                                      | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"subscriptions","type":"table","schema":"public"}                                                                 | unused_index_public_subscriptions_idx_subscriptions_user_id                               |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_payments_user_id\` on table \`public.payments\` has not been used                                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"payments","type":"table","schema":"public"}                                                                      | unused_index_public_payments_idx_payments_user_id                                         |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_leads_status\` on table \`public.leads\` has not been used                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"leads","type":"table","schema":"public"}                                                                         | unused_index_public_leads_idx_leads_status                                                |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_leads_assigned_agent_id\` on table \`public.leads\` has not been used                                                                            | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"leads","type":"table","schema":"public"}                                                                         | unused_index_public_leads_idx_leads_assigned_agent_id                                     |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_family_members_primary_user_id\` on table \`public.family_members\` has not been used                                                            | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"family_members","type":"table","schema":"public"}                                                                | unused_index_public_family_members_idx_family_members_primary_user_id                     |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_enrollment_modifications_user_id\` on table \`public.enrollment_modifications\` has not been used                                                | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"enrollment_modifications","type":"table","schema":"public"}                                                      | unused_index_public_enrollment_modifications_idx_enrollment_modifications_user_id         |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_commissions_agent_id\` on table \`public.commissions\` has not been used                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"commissions","type":"table","schema":"public"}                                                                   | unused_index_public_commissions_idx_commissions_agent_id                                  |
